reviewid,best_new_music,author,genre,label,score
22535,0,philip sherburne,electronic,melody as truth,8
22668,0,mehan jayasuriya,pop/r&b,republic,6.7
22650,0,thea ballard,,pc music,6.2
22651,0,paul thompson,electronic,gold robot,6.5
22596,0,daniel martin-mccormick,experimental,forced exposure,7.2
22644,0,mehan jayasuriya,electronic,because music,5.2
22644,0,mehan jayasuriya,electronic,ed banger,5.2
22649,0,philip sherburne,electronic,modern love,8.2
22583,0,kevin lozano,electronic,vague terrain,6.5
22595,0,"edwin ""stats"" houghton",pop/r&b,time no place,6.5
22467,1,laura snapes,pop/r&b,concord,8.5
22467,1,laura snapes,pop/r&b,fish people,8.5
22613,0,renato pagnani,rap,heavy on the grind,6.8
22620,0,seth colter walls,experimental,ecm new series,8.1
22633,0,cameron cook,pop/r&b,bella union,7.2
22597,0,kevin lozano,electronic,break world,7.4
22561,0,eric harvey,rap,priority,9.5
22648,0,brad nelson,pop/r&b,local action,8
22648,0,brad nelson,pop/r&b,our dawn,8
22531,0,jesse jarnow,experimental,northern spy,7.8
22531,0,jesse jarnow,rock,northern spy,7.8
22533,0,philip sherburne,electronic,important,7.5
22637,0,seth colter walls,experimental,new amsterdam,7.3
22647,0,paul a. thompson,rap,self-released,6.9
22614,0,jonathan bernstein,rock,acony,7.9
22622,0,ian cohen,rock,sideonedummy,8
22636,0,katherine st. asaph,rock,omnibus,7.5
22629,0,zoe camp,metal,blackened recordings,6.5
22534,0,philip sherburne,electronic,tresor,8
22565,0,caryn rose,rock,legacy,8
22395,0,marc masters,folk/country,three lobed,7.3
22592,1,andy beta,electronic,warp,8.2
22598,0,jes skolnik,rock,matador,7.4
22628,0,miles raymer,rock,london london,6.6
22624,0,saby reyes-kulkarni,rock,thrill jockey,8
22619,0,nina mashurova,experimental,sister polygon,7.8
22619,0,nina mashurova,rock,sister polygon,7.8
22642,0,dorian lynskey,rock,columbia,9.5
22603,0,rebecca haithcoat,pop/r&b,rca,7.8
22594,0,louis pattison,,light in the attic,7.7
22630,0,marc masters,rock,drag city,7.4
22552,0,jonathan patrick,electronic,local action,6.5
22625,0,evan rytlewski,rock,castle face,6.7
22618,0,andy beta,electronic,warp,7.5
22602,0,zoe camp,rock,sacred bones,6.4
22621,0,benjamin scheim,rap,leaving,6.5
22607,1,kris ex,rap,epic,9
22611,0,quinn moreland,pop/r&b,carpark,7.4
22616,0,louis pattison,electronic,knives,6.3
22617,0,sam sodomsky,metal,sumerian,6.4
22401,1,mike powell,folk/country,dust-to-digital,8.5
22394,0,thea ballard,experimental,hospital,8.2
22394,0,thea ballard,experimental,non,8.2
22457,0,philip sherburne,electronic,!k7,7.7
22501,0,seth colter walls,experimental,cantaloupe,6.8
22612,0,paul a. thompson,rap,bad boy,7
22612,0,paul a. thompson,rap,coke boys,7
22612,0,paul a. thompson,rap,epic,7
22525,0,jesse jarnow,folk/country,ato,7.8
22525,0,jesse jarnow,folk/country,round,7.8
22610,0,katherine st. asaph,pop/r&b,virgin,5.4
22518,0,seth colter walls,experimental,cantaloupe,7.9
22527,1,seth colter walls,experimental,sony classical,8.6
22623,0,katherine st. asaph,pop/r&b,def jam,6.8
22563,0,brian burlage,electronic,kranky,7.4
22563,0,brian burlage,global,kranky,7.4
22563,0,brian burlage,rock,kranky,7.4
22505,0,jesse jarnow,folk/country,don giovanni,7.9
22465,0,seth colter walls,electronic,northern spy,8
22465,0,seth colter walls,experimental,northern spy,8
22465,0,seth colter walls,jazz,northern spy,8
22465,0,seth colter walls,rock,northern spy,8
22506,0,marc masters,rock,sst,9.5
22581,0,kevin lozano,,milan,6
22519,0,john s.w. macdonald,rock,we are the men,6.8
22608,0,nathan reese,experimental,editions mego,7.5
22573,0,saby reyes-kulkarni,rock,mag mag,6.6
22609,0,philip sherburne,electronic,warp,7.2
22605,0,renato pagnani,rap,dum shiny,6
22606,1,benjamin scheim,rock,quarterstick,8.5
22502,0,saby reyes kulkarni,metal,earmusic,6.8
