word,frequency
subtle,1872
starts,1869
although,1869
tune,1864
thought,1863
range,1861
gone,1861
becomes,1855
latest,1849
samples,1848
latter,1845
human,1839
fine,1839
fit,1838
performance,1836
disco,1829
york,1825
air,1822
influences,1807
entire,1807
background,1806
perfectly,1801
techno,1798
am,1797
otherwise,1789
writing,1787
cuts,1787
clearly,1786
tones,1784
nice,1781
friends,1779
listener,1779
compilation,1777
following,1776
experience,1775
machine,1766
shit,1765
traditional,1759
s,1758
difficult,1753
party,1749
ballad,1747
mean,1745
hook,1744
underground,1742
offers,1740
section,1740
looking,1733
went,1733
string,1732
tape,1728
kids,1726
largely,1724
david,1723
example,1717
context,1716
success,1713
somewhere,1712
face,1712
reason,1712
acts,1711
written,1705
produced,1702
sounded,1693
suggests,1688
including,1677
weird,1670
remix,1668
low,1663
fully,1660
brief,1659
note,1657
hell,1657
moving,1654
verse,1654
james,1648
backing,1636
hold,1632
spent,1632
eventually,1631
cool,1629
m,1628
verses,1624
inside,1623
whatever,1622
complete,1620
sweet,1617
inspired,1616
try,1612
usually,1611
trio,1611
points,1610
ones,1609
create,1609
era,1608
longer,1607
theme,1601
rarely,1597
level,1596
boys,1595
truly,1593
girl,1591
major,1589
stage,1588
star,1588
talk,1587
wave,1587
started,1581
barely,1581
somehow,1577
unlike,1569
able,1568
straight,1566
return,1564
sing,1561
effects,1560
fire,1558
living,1557
similarly,1555
everyone,1554
dream,1554
drone,1554
quickly,1553
effort,1551
sets,1542
covers,1540
e,1540
hands,1532
turned,1525
using,1522
expect,1522
knows,1519
eyes,1512
psychedelic,1511
bring,1510
odd,1509
hearing,1507
told,1505
school,1504
wonder,1504
solid,1504
current,1501
stand,1497
present,1495
proper,1493
rhythmic,1490
red,1489
leave,1486
sun,1485
influence,1482
nature,1479
hot,1475
important,1467
soft,1467
hope,1465
delivery,1465
actual,1465
brings,1462
soon,1461
slowly,1459
spirit,1458
talking,1458
featuring,1455
quiet,1455
game,1455
process,1453
towards,1452
must,1451
jam,1451
british,1447
rare,1445
unfortunately,1444
possible,1442
concept,1441
question,1441
unique,1440
greatest,1439
tour,1439
problem,1438
la,1434
u,1434
recently,1433
rapper,1428
attempt,1428
member,1427
impressive,1427
keyboard,1425
tension,1423
warm,1423
giving,1423
none,1423
excellent,1423
catchy,1421
elsewhere,1421
ground,1421
collaboration,1419
onto,1414
step,1411
became,1409
aside,1409
forward,1408
hardcore,1406
atmosphere,1398
experimental,1397
immediately,1396
uk,1395
various,1393
seen,1392
force,1390
figure,1390
natural,1390
summer,1386
apart,1385
surprisingly,1384
somewhat,1383
digital,1379
bright,1378
rich,1377
write,1374
front,1374
box,1373
date,1372
says,1371
epic,1366
meant,1365
pure,1364
beginning,1363
broken,1363
creative,1359
compelling,1359
state,1357
worked,1354
offer,1354
potential,1351
keeps,1346
seemingly,1346
chance,1345
add,1345
beauty,1342
believe,1342
video,1342
compositions,1341
d,1341
loose,1340
cd,1339
seven,1338
guest,1337
favorite,1332
structure,1329
culture,1324
ability,1323
common,1322
minute,1320
god,1319
frontman,1319
bassist,1318
stars,1309
blue,1306
terms,1305
occasional,1300
pull,1299
wrong,1297
suggest,1296
stop,1295
narrative,1295
order,1294
biggest,1292
girls,1291
yes,1289
hardly,1289
collective,1285
statement,1280
build,1280
results,1277
cold,1271
named,1271
horns,1270
direction,1269
field,1269
yourself,1266
surprise,1265
raw,1265
styles,1265
building,1264
gorgeous,1263
follow,1263
presence,1262
west,1262
began,1261
touch,1261
vision,1258
adds,1258
body,1256
closing,1254
vocalist,1253
popular,1253
surprising,1253
wants,1252
key,1248
producers,1245
moves,1244
roots,1243
happy,1242
gentle,1241
fuck,1238
welcome,1237
sharp,1237
months,1236
beneath,1233
textures,1231
joy,1227
running,1226
sample,1225
contrast,1224
instrument,1223
king,1222
center,1222
street,1222
uses,1221
keyboards,1219
leaving,1217
equally,1216
wrote,1215
romantic,1214
relatively,1212
complex,1212
relationship,1211
c,1209
flow,1208
territory,1204
vibe,1204
de,1201
boy,1201
remember,1197
near,1195
blood,1195
smith,1194
previously,1192
minimal,1192
fellow,1191
included,1190
handful,1190
versions,1188
sex,1186
youth,1186
character,1185
instrumentation,1181
nor,1181
money,1179
layers,1178
usual,1177
indeed,1177
kid,1176
followed,1173
decades,1169
catalog,1167
breaks,1167
family,1164
leaves,1163
contemporary,1163
eight,1162
proves,1159
dynamic,1158
setting,1155
turning,1154
appeal,1154
pace,1153
deal,1153
read,1151
share,1149
loops,1148
l,1147
changes,1146
wanted,1144
follows,1144
generally,1143
humor,1142
war,1142
powerful,1140
fresh,1140
builds,1138
heavily,1136
themes,1135
french,1134
volume,1132
reference,1127
manages,1127
performances,1125
steady,1124
leads,1123
chord,1122
via,1122
places,1120
meanwhile,1120
sad,1119
saw,1117
due,1116
considering,1115
core,1115
highlight,1115
provides,1113
born,1113
stands,1112
straightforward,1112
content,1111
runs,1110
seconds,1110
electronics,1110
dense,1109
o,1109
wild,1109
serious,1108
overall,1106
memorable,1104
public,1103
interest,1103
appears,1102
large,1102
dub,1101
serves,1098
general,1098
alongside,1097
creating,1096
role,1092
songwriter,1090
pair,1088
surface,1087
paul,1087
control,1085
adding,1085
liner,1083
recalls,1081
specific,1081
beach,1079
roll,1079
neither,1077
offering,1077
stretch,1076
main,1076
double,1075
credit,1075
drones,1074
includes,1074
period,1073
oh,1072
shift,1069
needs,1068
inspiration,1068
favor,1064
fucking,1063
brian,1063
source,1062
sea,1062
subject,1061
huge,1058
direct,1057
arrangement,1057
stay,1055
saying,1054
friend,1052
balance,1051
references,1048
gonna,1048
sessions,1047
reminiscent,1047
loud,1046
essentially,1045
details,1045
care,1044
garage,1044
chicago,1043
musician,1042
capable,1041
yeah,1040
funny,1039
necessarily,1039
shifts,1039
continues,1038
thanks,1038
clean,1038
female,1037
distorted,1037
merely,1037
extended,1037
impossible,1036
distortion,1035
political,1035
remain,1033
movement,1032
standard,1031
fan,1031
led,1030
thinking,1028
bassline,1024
numbers,1024
magic,1023
choruses,1023
feature,1022
today,1021
mike,1021
addition,1021
momentum,1021
output,1020
tribute,1019
brought,1017
tom,1017
distance,1017
water,1017
road,1010
titles,1010
created,1009
bonus,1008
increasingly,1007
men,1006
likes,1006
reissue,1005
herself,1003
reverb,1002
